GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
1400000US53033024300,53033024300,"Census Tract 243, King County, Washington",6420,336
1400000US53033024400,53033024400,"Census Tract 244, King County, Washington",3196,277
1400000US53033024500,53033024500,"Census Tract 245, King County, Washington",4794,227
1400000US53033024601,53033024601,"Census Tract 246.01, King County, Washington",4295,182
1400000US53033024602,53033024602,"Census Tract 246.02, King County, Washington",3671,138
1400000US53033024701,53033024701,"Census Tract 247.01, King County, Washington",3283,185
1400000US53033024702,53033024702,"Census Tract 247.02, King County, Washington",6646,406
1400000US53033024800,53033024800,"Census Tract 248, King County, Washington",5975,428
1400000US53033024901,53033024901,"Census Tract 249.01, King County, Washington",5324,310
1400000US53033024902,53033024902,"Census Tract 249.02, King County, Washington",4011,295
1400000US53033024903,53033024903,"Census Tract 249.03, King County, Washington",6713,377
1400000US53033025001,53033025001,"Census Tract 250.01, King County, Washington",4491,280
1400000US53033025003,53033025003,"Census Tract 250.03, King County, Washington",7000,560
1400000US53033025005,53033025005,"Census Tract 250.05, King County, Washington",4426,352
1400000US53033025006,53033025006,"Census Tract 250.06, King County, Washington",4915,488
1400000US53033025101,53033025101,"Census Tract 251.01, King County, Washington",5693,469
1400000US53033025102,53033025102,"Census Tract 251.02, King County, Washington",6770,644
1400000US53033025200,53033025200,"Census Tract 252, King County, Washington",8130,710
1400000US53033025301,53033025301,"Census Tract 253.01, King County, Washington",3901,402
1400000US53033025302,53033025302,"Census Tract 253.02, King County, Washington",4201,565
1400000US53033025400,53033025400,"Census Tract 254, King County, Washington",6472,540
1400000US53033025500,53033025500,"Census Tract 255, King County, Washington",5052,504
1400000US53033025601,53033025601,"Census Tract 256.01, King County, Washington",4750,308
1400000US53033025602,53033025602,"Census Tract 256.02, King County, Washington",5457,380
1400000US53033025701,53033025701,"Census Tract 257.01, King County, Washington",5757,554
1400000US53033025702,53033025702,"Census Tract 257.02, King County, Washington",3399,468
1400000US53033025803,53033025803,"Census Tract 258.03, King County, Washington",4824,580
1400000US53033025804,53033025804,"Census Tract 258.04, King County, Washington",3676,336
1400000US53033025805,53033025805,"Census Tract 258.05, King County, Washington",4473,376
1400000US53033025806,53033025806,"Census Tract 258.06, King County, Washington",4422,391
1400000US53033026001,53033026001,"Census Tract 260.01, King County, Washington",5008,518
1400000US53033026002,53033026002,"Census Tract 260.02, King County, Washington",7564,770
1400000US53033026100,53033026100,"Census Tract 261, King County, Washington",6015,645
1400000US53033026200,53033026200,"Census Tract 262, King County, Washington",5462,517
1400000US53033026300,53033026300,"Census Tract 263, King County, Washington",1320,192
1400000US53033026400,53033026400,"Census Tract 264, King County, Washington",6811,2324
1400000US53033026500,53033026500,"Census Tract 265, King County, Washington",2905,306
1400000US53033026600,53033026600,"Census Tract 266, King County, Washington",2371,276
1400000US53033026700,53033026700,"Census Tract 267, King County, Washington",5543,513
1400000US53033026801,53033026801,"Census Tract 268.01, King County, Washington",4517,489
1400000US53033026802,53033026802,"Census Tract 268.02, King County, Washington",4754,377
1400000US53033027000,53033027000,"Census Tract 270, King County, Washington",2864,273
1400000US53033027100,53033027100,"Census Tract 271, King County, Washington",3757,901
1400000US53033027200,53033027200,"Census Tract 272, King County, Washington",2080,245
1400000US53033027300,53033027300,"Census Tract 273, King County, Washington",6307,491
1400000US53033027400,53033027400,"Census Tract 274, King County, Washington",4815,569
1400000US53033027500,53033027500,"Census Tract 275, King County, Washington",4428,402
1400000US53033027600,53033027600,"Census Tract 276, King County, Washington",4308,498
1400000US53033027701,53033027701,"Census Tract 277.01, King County, Washington",5044,552
1400000US53033027702,53033027702,"Census Tract 277.02, King County, Washington",4883,421
1400000US53033027800,53033027800,"Census Tract 278, King County, Washington",3336,261
1400000US53033027900,53033027900,"Census Tract 279, King County, Washington",6148,400
1400000US53033028000,53033028000,"Census Tract 280, King County, Washington",3848,513
1400000US53033028100,53033028100,"Census Tract 281, King County, Washington",2215,378
1400000US53033028200,53033028200,"Census Tract 282, King County, Washington",4108,388
1400000US53033028300,53033028300,"Census Tract 283, King County, Washington",4084,418
1400000US53033028402,53033028402,"Census Tract 284.02, King County, Washington",4579,459
1400000US53033028403,53033028403,"Census Tract 284.03, King County, Washington",4993,611
1400000US53033028500,53033028500,"Census Tract 285, King County, Washington",3616,261
1400000US53033028600,53033028600,"Census Tract 286, King County, Washington",6134,219
1400000US53033028700,53033028700,"Census Tract 287, King County, Washington",5269,475
1400000US53033028801,53033028801,"Census Tract 288.01, King County, Washington",3705,499
1400000US53033028802,53033028802,"Census Tract 288.02, King County, Washington",5917,699
1400000US53033028901,53033028901,"Census Tract 289.01, King County, Washington",2973,251
1400000US53033028902,53033028902,"Census Tract 289.02, King County, Washington",6061,647
1400000US53033029001,53033029001,"Census Tract 290.01, King County, Washington",4757,847
1400000US53033029003,53033029003,"Census Tract 290.03, King County, Washington",5811,699
1400000US53033029004,53033029004,"Census Tract 290.04, King County, Washington",4438,566
1400000US53033029101,53033029101,"Census Tract 291.01, King County, Washington",2977,343
1400000US53033029102,53033029102,"Census Tract 291.02, King County, Washington",3725,316
1400000US53033029203,53033029203,"Census Tract 292.03, King County, Washington",2575,391
1400000US53033029204,53033029204,"Census Tract 292.04, King County, Washington",6662,737
1400000US53033029205,53033029205,"Census Tract 292.05, King County, Washington",4588,464
1400000US53033029206,53033029206,"Census Tract 292.06, King County, Washington",4320,450
1400000US53033029303,53033029303,"Census Tract 293.03, King County, Washington",6756,506
1400000US53033029304,53033029304,"Census Tract 293.04, King County, Washington",4492,298
1400000US53033029305,53033029305,"Census Tract 293.05, King County, Washington",3973,329
1400000US53033029306,53033029306,"Census Tract 293.06, King County, Washington",2919,203
1400000US53033029307,53033029307,"Census Tract 293.07, King County, Washington",3760,386
1400000US53033029403,53033029403,"Census Tract 294.03, King County, Washington",5374,401
1400000US53033029405,53033029405,"Census Tract 294.05, King County, Washington",5858,421
1400000US53033029406,53033029406,"Census Tract 294.06, King County, Washington",4780,423
1400000US53033029407,53033029407,"Census Tract 294.07, King County, Washington",4679,413
1400000US53033029408,53033029408,"Census Tract 294.08, King County, Washington",4659,509
1400000US53033029502,53033029502,"Census Tract 295.02, King County, Washington",6094,493
1400000US53033029503,53033029503,"Census Tract 295.03, King County, Washington",7948,642
1400000US53033029504,53033029504,"Census Tract 295.04, King County, Washington",5054,435
1400000US53033029601,53033029601,"Census Tract 296.01, King County, Washington",7071,518
1400000US53033029602,53033029602,"Census Tract 296.02, King County, Washington",5289,304
1400000US53033029700,53033029700,"Census Tract 297, King County, Washington",7328,617
1400000US53033029801,53033029801,"Census Tract 298.01, King County, Washington",7109,430
1400000US53033029802,53033029802,"Census Tract 298.02, King County, Washington",8427,434
1400000US53033029901,53033029901,"Census Tract 299.01, King County, Washington",4589,389
1400000US53033029902,53033029902,"Census Tract 299.02, King County, Washington",4214,276
1400000US53033030003,53033030003,"Census Tract 300.03, King County, Washington",6119,474
1400000US53033030004,53033030004,"Census Tract 300.04, King County, Washington",7412,616
1400000US53033030005,53033030005,"Census Tract 300.05, King County, Washington",5008,433
1400000US53033030006,53033030006,"Census Tract 300.06, King County, Washington",3625,422
1400000US53033030100,53033030100,"Census Tract 301, King County, Washington",6743,774
1400000US53033030201,53033030201,"Census Tract 302.01, King County, Washington",5524,429
1400000US53033030202,53033030202,"Census Tract 302.02, King County, Washington",5774,592
1400000US53033030304,53033030304,"Census Tract 303.04, King County, Washington",3345,297
1400000US53033030305,53033030305,"Census Tract 303.05, King County, Washington",4855,314
1400000US53033030306,53033030306,"Census Tract 303.06, King County, Washington",5856,310
1400000US53033030308,53033030308,"Census Tract 303.08, King County, Washington",6764,498
1400000US53033030309,53033030309,"Census Tract 303.09, King County, Washington",5390,439
1400000US53033030310,53033030310,"Census Tract 303.10, King County, Washington",5642,422
1400000US53033030311,53033030311,"Census Tract 303.11, King County, Washington",5134,468
1400000US53033030312,53033030312,"Census Tract 303.12, King County, Washington",4701,229
1400000US53033030313,53033030313,"Census Tract 303.13, King County, Washington",3372,336
1400000US53033030314,53033030314,"Census Tract 303.14, King County, Washington",4224,476
1400000US53033030401,53033030401,"Census Tract 304.01, King County, Washington",7477,476
1400000US53033030403,53033030403,"Census Tract 304.03, King County, Washington",4353,322
1400000US53033030404,53033030404,"Census Tract 304.04, King County, Washington",4119,332
1400000US53033030501,53033030501,"Census Tract 305.01, King County, Washington",1690,336
1400000US53033030503,53033030503,"Census Tract 305.03, King County, Washington",3428,391
1400000US53033030504,53033030504,"Census Tract 305.04, King County, Washington",4408,522
1400000US53033030600,53033030600,"Census Tract 306, King County, Washington",5140,297
1400000US53033030700,53033030700,"Census Tract 307, King County, Washington",3783,506
1400000US53033030801,53033030801,"Census Tract 308.01, King County, Washington",6421,551
1400000US53033030802,53033030802,"Census Tract 308.02, King County, Washington",3914,331
1400000US53033030901,53033030901,"Census Tract 309.01, King County, Washington",3628,197
1400000US53033030902,53033030902,"Census Tract 309.02, King County, Washington",5241,204
1400000US53033031000,53033031000,"Census Tract 310, King County, Washington",3353,258
1400000US53033031100,53033031100,"Census Tract 311, King County, Washington",6994,605
1400000US53033031202,53033031202,"Census Tract 312.02, King County, Washington",5942,434
1400000US53033031204,53033031204,"Census Tract 312.04, King County, Washington",6624,597
1400000US53033031205,53033031205,"Census Tract 312.05, King County, Washington",6200,365
1400000US53033031206,53033031206,"Census Tract 312.06, King County, Washington",4601,372
1400000US53033031301,53033031301,"Census Tract 313.01, King County, Washington",2336,251
1400000US53033031302,53033031302,"Census Tract 313.02, King County, Washington",4907,288
1400000US53033031400,53033031400,"Census Tract 314, King County, Washington",5788,268
1400000US53033031501,53033031501,"Census Tract 315.01, King County, Washington",3694,338
1400000US53033031502,53033031502,"Census Tract 315.02, King County, Washington",3644,206
1400000US53033031601,53033031601,"Census Tract 316.01, King County, Washington",4559,322
1400000US53033031603,53033031603,"Census Tract 316.03, King County, Washington",5290,391
1400000US53033031604,53033031604,"Census Tract 316.04, King County, Washington",4334,270
1400000US53033031605,53033031605,"Census Tract 316.05, King County, Washington",3429,325
1400000US53033031703,53033031703,"Census Tract 317.03, King County, Washington",5642,362
1400000US53033031704,53033031704,"Census Tract 317.04, King County, Washington",4862,361
1400000US53033031705,53033031705,"Census Tract 317.05, King County, Washington",3577,283
1400000US53033031706,53033031706,"Census Tract 317.06, King County, Washington",5796,279
1400000US53033031800,53033031800,"Census Tract 318, King County, Washington",4350,364
1400000US53033031903,53033031903,"Census Tract 319.03, King County, Washington",6164,318
1400000US53033031904,53033031904,"Census Tract 319.04, King County, Washington",3133,153
1400000US53033031906,53033031906,"Census Tract 319.06, King County, Washington",3525,179
1400000US53033031907,53033031907,"Census Tract 319.07, King County, Washington",7181,463
1400000US53033031908,53033031908,"Census Tract 319.08, King County, Washington",4314,403
1400000US53033031909,53033031909,"Census Tract 319.09, King County, Washington",3299,242
1400000US53033032002,53033032002,"Census Tract 320.02, King County, Washington",2922,324
1400000US53033032003,53033032003,"Census Tract 320.03, King County, Washington",4704,270
1400000US53033032005,53033032005,"Census Tract 320.05, King County, Washington",6691,366
1400000US53033032006,53033032006,"Census Tract 320.06, King County, Washington",4296,267
1400000US53033032007,53033032007,"Census Tract 320.07, King County, Washington",3193,275
1400000US53033032008,53033032008,"Census Tract 320.08, King County, Washington",3961,307
1400000US53033032010,53033032010,"Census Tract 320.10, King County, Washington",4735,221
1400000US53033032011,53033032011,"Census Tract 320.11, King County, Washington",3697,202
1400000US53033032102,53033032102,"Census Tract 321.02, King County, Washington",4574,344
1400000US53033032103,53033032103,"Census Tract 321.03, King County, Washington",4414,369
1400000US53033032104,53033032104,"Census Tract 321.04, King County, Washington",6091,379
1400000US53033032203,53033032203,"Census Tract 322.03, King County, Washington",6172,288
1400000US53033032207,53033032207,"Census Tract 322.07, King County, Washington",3291,172
1400000US53033032208,53033032208,"Census Tract 322.08, King County, Washington",7353,458
1400000US53033032210,53033032210,"Census Tract 322.10, King County, Washington",8195,557
1400000US53033032211,53033032211,"Census Tract 322.11, King County, Washington",4992,216
1400000US53033032212,53033032212,"Census Tract 322.12, King County, Washington",8481,490
1400000US53033032213,53033032213,"Census Tract 322.13, King County, Washington",4399,259
1400000US53033032214,53033032214,"Census Tract 322.14, King County, Washington",6040,254
1400000US53033032215,53033032215,"Census Tract 322.15, King County, Washington",4177,350
1400000US53033032307,53033032307,"Census Tract 323.07, King County, Washington",6069,354
1400000US53033032309,53033032309,"Census Tract 323.09, King County, Washington",4007,429
1400000US53033032311,53033032311,"Census Tract 323.11, King County, Washington",6014,326
1400000US53033032313,53033032313,"Census Tract 323.13, King County, Washington",6204,595
1400000US53033032315,53033032315,"Census Tract 323.15, King County, Washington",5300,299
1400000US53033032316,53033032316,"Census Tract 323.16, King County, Washington",5232,192
1400000US53033032317,53033032317,"Census Tract 323.17, King County, Washington",5700,428
1400000US53033032318,53033032318,"Census Tract 323.18, King County, Washington",5313,231
1400000US53033032319,53033032319,"Census Tract 323.19, King County, Washington",4523,314
1400000US53033032320,53033032320,"Census Tract 323.20, King County, Washington",3997,284
1400000US53033032321,53033032321,"Census Tract 323.21, King County, Washington",4503,271
1400000US53033032322,53033032322,"Census Tract 323.22, King County, Washington",3482,286
1400000US53033032323,53033032323,"Census Tract 323.23, King County, Washington",5257,270
1400000US53033032324,53033032324,"Census Tract 323.24, King County, Washington",4973,301
1400000US53033032325,53033032325,"Census Tract 323.25, King County, Washington",5685,413
1400000US53033032326,53033032326,"Census Tract 323.26, King County, Washington",3531,353
1400000US53033032327,53033032327,"Census Tract 323.27, King County, Washington",3468,169
1400000US53033032328,53033032328,"Census Tract 323.28, King County, Washington",3125,176
1400000US53033032329,53033032329,"Census Tract 323.29, King County, Washington",6239,320
1400000US53033032401,53033032401,"Census Tract 324.01, King County, Washington",5660,391
1400000US53033032402,53033032402,"Census Tract 324.02, King County, Washington",5462,403
1400000US53033032500,53033032500,"Census Tract 325, King County, Washington",4908,362
1400000US53033032601,53033032601,"Census Tract 326.01, King County, Washington",2996,301
1400000US53033032602,53033032602,"Census Tract 326.02, King County, Washington",9870,673
1400000US53033032702,53033032702,"Census Tract 327.02, King County, Washington",6141,348
1400000US53033032703,53033032703,"Census Tract 327.03, King County, Washington",1887,249
1400000US53033032704,53033032704,"Census Tract 327.04, King County, Washington",5932,527
1400000US53033032800,53033032800,"Census Tract 328, King County, Washington",2362,265
1400000US53033990100,53033990100,"Census Tract 9901, King County, Washington",0,123
